7bitconf,7bitConf,7bitConf::7bitConf
paho-mqtt-cpp,PahoMqttCpp,
parallel-hashmap,phmap,phmap
parlayhash,parlayhash,parlay
parson,parson,parson::parson
pathie-cpp,Pathie,Pathie::Pathie
pcapplusplus,PcapPlusPlus,PcapPlusPlus::PcapPlusPlus
pcl,PCL,PCL::PCL
pcre2,PCRE2,
pdal,PDAL,
pdf-writer,PDFHummus,PDFHummus::PDFWriter
perlinnoise,PerlinNoise,siv::PerlinNoise
physfs,PhysFS,
physx,PhysX,
pistache,Pistache,Pistache::Pistache
platform.interfaces,Platform.Interfaces,Platform.Interfaces::Platform.Interfaces
platformfolders,platform_folders,sago::platform_folders
playrho,PlayRho,PlayRho::PlayRho
poco,Poco,Poco::Poco
polymorphic_value,polymorphic_value,
poselib,PoseLib,PoseLib::PoseLib
pranav-csv2,csv2,csv2::csv2
pretty-name,pretty-name,pretty-name::pretty-name
primesieve,primesieve,primesieve::primesieve
pro-mdnsd,mdnsd,libmdnsd
procxx-boost-ext-simd,Boost.SIMD,Boost
prometheus-cpp,prometheus-cpp,
proposal,PROPOSAL,PROPOSAL::PROPOSAL
protobuf,protobuf,
proxy,proxy,msft_proxy
psyinf-gmtl,gmtl,gmtl::gmtl
ptex,ptex,
pugixml,pugixml,pugixml::pugixml
pybind11,,pybind11_all_do_not_use
qarchive,QArchive,QArchive
qcoro,QCoro6,
qhull,Qhull,
qpdf,qpdf,qpdf::libqpdf
quantlib,QuantLib,QuantLib::QuantLib
quazip,,QuaZip::QuaZip
quickcpplib,quickcpplib,quickcpplib::hl
qxlsx,,QXlsx::QXlsx
qxmpp,QXmpp,QXmpp::QXmpp
rabbitmq-c,rabbitmq-c,
rang,rang,rang::rang
rapidcheck,rapidcheck,
rapidjson,RapidJSON,rapidjson
rapidyaml,ryml,ryml::ryml
raylib,raylib,raylib
re2,re2,re2::re2
reactiveplusplus,RPP,RPP::rpp
read-excel,read-excel,read-excel::read-excel
recastnavigation,recastnavigation,
rectanglebinpack,RectangleBinPack,RectangleBinPack::RectangleBinPack
redboltz-mqtt_cpp,mqtt_cpp,mqtt_cpp::mqtt_cpp
redis-plus-plus,redis++,
redradist-icc,icc,icc::icc
reflect-cpp,reflectcpp,reflectcpp::reflectcpp
replxx,replxx,replxx::replxx
resource_pool,,elsid::resource_pool
restinio,restinio,restinio::restinio
ring-span-lite,ring-span-lite,
roaring,roaring,roaring::roaring
robin-hood-hashing,robin_hood,robin_hood::robin_hood
rocksdb,RocksDB,
rpclib,rpclib,rpclib::rpc
rtmidi,RtMidi,RtMidi::rtmidi
rttr,rttr,
ruby,Ruby,Ruby::Ruby
rusty-cpp,,rusty-cpp
s2geometry,s2,s2::s2
s2n,s2n,AWS::s2n
sail,Sail,
scnlib,scn,
scope-lite,scope-lite,nonstd::scope-lite
sdbus-cpp,sdbus-c++,SDBusCpp::sdbus-c++
sdl,SDL3,
sdl_image,SDL2_image,SDL2_image::SDL2_image
sdl_mixer,SDL2_mixer,SDL2_mixer::SDL2_mixer
sdl_net,SDL2_net,SDL2_net::SDL2_net
sdl_ttf,SDL2_ttf,
seasocks,Seasocks,Seasocks::seasocks
sentry-crashpad,crashpad,
sentry-native,sentry,
seqan3,seqan3,seqan3::seqan3
sfml,SFML,
shapelib,shapelib,shapelib::shp
si,SI,SI::SI
sigslot,PalSigslot,Pal::Sigslot
simd,Simd,Simd::Simd
simdjson,simdjson,simdjson::simdjson
sioclient,sioclient,
skyr-url,skyr-url,skyr::skyr-url
sml,sml,sml::sml
snappy,Snappy,Snappy::snappy
snitch,snitch,
so5extra,so5extra,sobjectizer::so5extra
sobjectizer,sobjectizer,
soci,SOCI,
sophus,Sophus,Sophus::Sophus
soplex,,soplex
soundtouch,SoundTouch,
span-lite,span-lite,nonstd::span-lite
sparrow,sparrow,sparrow::sparrow
spdlog,spdlog,
spectra,spectra,Spectra::Spectra
speedb,Speedb,Speedb::speedb
spirv-headers,SPIRV-Headers,SPIRV-Headers::SPIRV-Headers
